lat,lon,r1h
22.5,120.0,0.14648438
22.5,120.125,0.14648438
22.5,120.25,0.14648438
22.5,120.375,0.14648438
22.5,120.5,0.14648438
22.5,120.625,0.6541443
22.5,120.75,3.6572266
22.5,120.875,4.433975
22.5,121.0,3.963028
22.5,121.125,0.14648438
22.5,121.25,0.14648438
22.5,121.375,0.14648438
22.5,121.5,0.14648438
22.5,121.625,0.14648438
22.5,121.75,0.14648438
22.5,121.875,0.14648438
22.5,122.0,0.14648438
22.5,122.125,0.14648438
22.5,122.25,0.14648438
22.5,122.375,0.2810669
22.5,122.5,1.1923981
22.5,122.625,3.0945587
22.5,122.75,5.736786
22.5,122.875,8.452377
22.5,123.0,11.712311
22.5,123.125,15.320847
22.5,123.25,19.938614
22.5,123.375,24.293335
22.5,123.5,26.348434
22.5,123.625,24.868317
22.5,123.75,23.553299
22.5,123.875,23.700119
22.5,124.0,23.81018
22.5,124.125,21.938644
22.5,124.25,18.862213
22.5,124.375,16.617538
22.5,124.5,14.978394
22.5,124.625,15.424896
22.5,124.75,16.281128
22.5,124.875,16.25055
22.5,125.0,16.018158
22.5,125.125,15.039581
22.5,125.25,15.60228
22.5,125.375,18.482986
22.5,125.5,25.076263
22.5,125.625,34.10379
22.5,125.75,41.10074
22.5,125.875,44.72763
22.5,126.0,44.36064
22.5,126.125,41.712357
22.5,126.25,37.681732
22.5,126.375,33.02124
22.5,126.5,28.146591
22.5,126.625,24.996765
22.5,126.75,24.024277
22.5,126.875,25.797974
22.5,127.0,29.712357
22.5,127.125,34.807144
22.5,127.25,39.638977
22.5,127.375,43.265854
22.5,127.5,46.036514
22.5,127.625,47.58394
22.5,127.75,47.950897
22.5,127.875,46.77658
22.5,128.0,44.018158
22.5,128.125,40.452423
22.5,128.25,37.015076
22.5,128.375,34.0365
22.5,128.5,31.400406
22.5,128.625,29.08847
22.5,128.75,26.84996
22.5,128.875,24.482971
22.5,129.0,22.152725
22.5,129.125,19.98146
22.5,129.25,17.694
22.5,129.375,15.351501
22.5,129.5,13.008972
22.5,129.625,10.68483
22.5,129.75,8.507431
22.5,129.875,6.6603546
22.5,130.0,5.4248505
22.5,130.125,4.654175
22.5,130.25,3.9997559
22.5,130.375,3.351471
22.5,130.5,2.7581635
22.5,130.625,2.1404266
22.5,130.75,1.5716553
22.5,130.875,1.1373901
22.5,131.0,0.82547
22.5,131.125,0.64808655
22.5,131.25,0.49517822
22.5,131.375,0.39120483
22.5,131.5,0.3300171
22.5,131.625,0.2627411
22.5,131.75,0.23826599
22.5,131.875,0.2137909
22.5,132.0,0.20767212
22.5,132.125,0.17707825
22.5,132.25,0.17095947
22.5,132.375,0.15872192
22.5,132.5,0.15872192
22.5,132.625,0.15260315
22.5,132.75,0.14648438
22.5,132.875,0.14648438
22.5,133.0,0.14648438
22.5,133.125,0.14648438
22.5,133.25,0.14648438
22.5,133.375,0.14648438
22.5,133.5,0.14648438
22.5,133.625,0.14648438
22.5,133.75,0.14648438
22.5,133.875,0.14648438
22.5,134.0,0.14648438
22.5,134.125,0.14648438
22.5,134.25,0.14648438
22.5,134.375,0.14648438
22.5,134.5,0.14648438
22.5,134.625,0.14648438
22.5,134.75,0.14648438
22.5,134.875,0.14648438
22.5,135.0,0.14648438
22.5,135.125,0.14648438
22.5,135.25,0.14648438
22.5,135.375,0.14648438
22.5,135.5,0.14648438
22.5,135.625,0.14648438
22.5,135.75,0.14648438
22.5,135.875,0.14648438
22.5,136.0,0.14648438
22.5,136.125,0.14648438
22.5,136.25,0.14648438
22.5,136.375,0.14648438
22.5,136.5,0.14648438
22.5,136.625,0.14648438
22.5,136.75,0.14648438
